"Ins_Age","BMI","Medical_History_1","Exposure","Predicted_Freq"
0.9,0.471356418940409,7.70815841289891,1,0.17863795004552
0.91,0.471356418940409,7.70815841289891,1,0.182374160429351
0.92,0.471356418940409,7.70815841289891,1,0.18618851360439
0.93,0.471356418940409,7.70815841289891,1,0.190082643926091
0.94,0.471356418940409,7.70815841289891,1,0.194058219932432
0.95,0.471356418940409,7.70815841289891,1,0.198116945058837
0.96,0.471356418940409,7.70815841289891,1,0.202260558368065
0.97,0.471356418940409,7.70815841289891,1,0.206490835295346
0.98,0.471356418940409,7.70815841289891,1,0.210809588409115
0.99,0.471356418940409,7.70815841289891,1,0.215218668187654
1,0.471356418940409,7.70815841289891,1,0.219719963811972
